Item,Quantity,Unit Price ($),Total Price ($),URL
"0.91"" 128x32 OLED Display",1,4.19,4.19,https://www.robotshop.com/products/091-inch-128x32-i2c-oled-display-blueLink
EC11 Rotary Encoder,1,4.49,4.49,https://www.digikey.com/en/products/detail/alps-alpine/EC11E15244G1/21721550Link
1x Seeed XIAO RP2040,1,3.99,3.99,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html?srsltid=AfmBOorylSUVHAx-EGUnlCGFg4XevzRIABXc1V5slbQOezMUfysipypL
M3x6mm SHCS Bolts,2,1.24,2.48,https://us.misumi-ec.com/vona2/detail/221000551365/?HissuCode=CSHSM-SUS-M3-6&gad_source=1&gad_campaignid=19817031019&gbraid=0AAAAADtMMx-NIiWfGx4ddFV54JqUoQiQR&gclid=CjwKCAiAnoXNBhAZEiwAnItcG34oMqhBsJpe0Y5fftf5huFeCXPZVQnps9lRdSFpEWnmxzYjYgHWLBoCfCoQAvD_BwE&seriesCode=221000551365&tab=productInformation&Page=1
Cherry MX Keycap,3,1.05,3.15,https://www.sparkfun.com/cherry-mx-keycap-r2-opaque-black.html?gad_source=1&gad_campaignid=17479024039&gbraid=0AAAAADsj4ERfI_hmYifNxlzE7bCVZP6oR&gclid=CjwKCAiAnoXNBhAZEiwAnItcG8GQ8f800L8u5SWy_DAdA9nJvNtbmVoa0BNZ40OJn6Pm9cRXvq-JHBoCS2cQAvD_BwE
Cherry MX Switch,3,1.1,3.3,https://www.sparkfun.com/cherry-mx-switch.html#content-overview
M3x12mm SHCS Bolts,4,0.11,0.44,https://us.misumi-ec.com/vona2/detail/221000551376/?HissuCode=CSHCS-316L-M3-12&gad_source=4&gad_campaignid=19817031019&gbraid=0AAAAADtMMx99qsEtck0w1r-x3EfNhwXL7&gclid=CjwKCAiAnoXNBhAZEiwAnItcG3CGA2wAc2PKwcxiYjYAeDyd2uYz4ok5NSG27nl_Vu0cNHnMUtybxRoCjRcQAvD_BwE&seriesCode=221000551376&tab=productInformation&Page=1
